corpus=918, words=10275, K=20, a=0.200000, b=0.300000
initial perplexity=1876.647973
-662 p=1327.453565
-663 p=1326.688635
-664 p=1327.777393
-665 p=1328.739273
-666 p=1328.259877
-667 p=1329.049196
-668 p=1328.458778
-669 p=1329.509650
-670 p=1329.109310
-671 p=1327.986931
-672 p=1327.202258
-673 p=1326.630345
-674 p=1328.573562
-675 p=1328.116680
-676 p=1327.153619
-677 p=1329.529381
-678 p=1329.908196
-679 p=1329.793706
-680 p=1329.438269
-681 p=1328.559587
-682 p=1329.588168
-683 p=1329.556637
-684 p=1326.984715
-685 p=1327.887463
-686 p=1326.455799
-687 p=1324.670238
-688 p=1325.622392
-689 p=1327.428349
-690 p=1327.156444
-691 p=1327.456573
-692 p=1327.394697
-693 p=1327.038829
-694 p=1328.099800
-695 p=1327.147403
-696 p=1326.284974
-697 p=1329.113832
-698 p=1328.593059
-699 p=1327.646393
-700 p=1326.749891
-701 p=1326.030823
-702 p=1326.662485
-703 p=1327.518440
-704 p=1325.869752
-705 p=1327.019174
-706 p=1327.934946
-707 p=1328.482736
-708 p=1328.765225
-709 p=1326.567211
-710 p=1328.040143
-711 p=1328.165999
-712 p=1330.194207
-713 p=1328.937976
-714 p=1330.858258
-715 p=1330.676447
-716 p=1329.998136
-717 p=1332.116325
-718 p=1332.781198
-719 p=1333.444336
-720 p=1332.246827
-721 p=1331.680029
-722 p=1332.199373
-723 p=1331.936259
-724 p=1332.086494
-725 p=1330.798541
-726 p=1330.214734
-727 p=1329.877114
-728 p=1331.061195
-729 p=1330.483100
-730 p=1329.645824
-731 p=1329.715479
-732 p=1329.233719
-733 p=1329.787584
-734 p=1329.235319
-735 p=1326.962696
-736 p=1327.045766
-737 p=1326.128513
-738 p=1326.396614
-739 p=1329.077741
-740 p=1329.506121
-741 p=1328.190987
-742 p=1328.362794
-743 p=1327.190592
-744 p=1327.079348
-745 p=1327.751827
-746 p=1328.693802
-747 p=1328.406930
-748 p=1327.994794
-749 p=1328.460723
-750 p=1326.327642
-751 p=1328.426536
-752 p=1328.385369
-753 p=1328.877318
-754 p=1328.029680
-755 p=1328.468157
-756 p=1329.769627
-757 p=1327.987046
-758 p=1328.395742
-759 p=1328.687591
-760 p=1326.576672
-761 p=1326.966108
-762 p=1328.651765
-763 p=1328.444765
-764 p=1328.730046
-765 p=1329.517811
-766 p=1328.404342
-767 p=1326.873557
-768 p=1327.760905
-769 p=1327.135434
-770 p=1325.472473
-771 p=1325.069222
-772 p=1325.311049
-773 p=1324.768457
-774 p=1327.343235
-775 p=1329.190038
-776 p=1328.822134
-777 p=1329.889103
-778 p=1330.161914
-779 p=1329.458129
-780 p=1328.922818
-781 p=1329.497212
-782 p=1329.684713
-783 p=1330.381505
-784 p=1329.251852
-785 p=1328.991735
-786 p=1330.036278
-787 p=1329.312384
-788 p=1329.239865
-789 p=1329.125948
-790 p=1330.601509
-791 p=1330.006974
-792 p=1331.511208
-793 p=1329.833480
-794 p=1329.293102
-795 p=1329.151039
-796 p=1331.145079
-797 p=1331.128651
-798 p=1332.110749
-799 p=1331.637086
-800 p=1330.412667
-801 p=1330.844796
-802 p=1330.419428
-803 p=1331.485090
-804 p=1331.145164
-805 p=1329.374596
-806 p=1328.769568
-807 p=1331.062579
-808 p=1330.657609
-809 p=1331.885283
-810 p=1330.277210
-811 p=1330.543120
-812 p=1329.601801
-813 p=1332.221267
-814 p=1330.255741
-815 p=1330.161422
-816 p=1328.612105
-817 p=1330.100093
-818 p=1330.537082
-819 p=1330.011150
-820 p=1331.594325
-821 p=1329.402241
-822 p=1331.059132
-823 p=1329.588607
-824 p=1330.146848
-825 p=1328.647038
-826 p=1329.549328
-827 p=1328.160262
-828 p=1331.185924
-829 p=1329.816930
-830 p=1329.909385
-831 p=1330.211499
-832 p=1330.780823
-833 p=1329.697841
-834 p=1329.445570
-835 p=1329.612525
